7:0, 7:0, 7:0, 7:0, 7:1, 7:1, 7:1, 7:0, 7:0, 7:1, 7:1, 7:0, 7:0, 7:0, 7:0, 7:0;
7:0, 7:0, 7:0, 7:1,12:0,12:0,12:0, 7:1, 7:1,12:0,12:0, 7:1, 7:1, 7:0, 7:0, 7:0;
7:0, 7:0, 7:1,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0, 7:1, 7:0, 7:0;
7:0, 7:1,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0, 7:1, 7:0, 7:0;
7:0, 7:1,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0, 7:1, 7:0, 7:0;
7:0, 7:0, 7:1,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0, 7:1, 7:0, 7:0, 7:0;
7:0, 7:1,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0, 7:1, 7:0, 7:0, 7:0;
7:0, 7:0, 7:1,12:0,12:0,12:0,12:0,12:0,12:0,12:0,12:0, 7:1, 7:0, 7:0, 7:0, 7:0;
7:0, 7:0, 7:1,12:0,12:0,12:0,12:0,12:0,12:0,12:0, 7:1, 7:0, 7:0, 7:0, 7:0, 7:0;
7:0, 7:0, 7:0, 7:1, 7:1,12:0,12:0,12:0,12:0, 7:1, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0;
7:0, 7:0, 7:0, 7:0, 7:0, 7:1, 7:1, 7:1, 7:1, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0;
7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0;
